Symbol,Security,Market Cap
AJG,Arthur J. Gallagher & Co.,62508905990.448
MSI,Motorola Solutions,62407318210.37274
EOG,EOG Resources,60747228630.52777
TFC,Truist Financial,60701194419.295166
WBD,Warner Bros. Discovery,60450189281.381714
KMI,Kinder Morgan,60171314011.91563
SRE,Sempra,59208136235.57421
PYPL,PayPal,58636349606.875
VST,Vistra Corp.,58372855003.594666
IDXX,Idexx Laboratories,58369826015.78772
ROST,Ross Stores,58236539399.17395
AFL,Aflac,58085375875.4488
APD,Air Products,57969174833.33038
MPC,Marathon Petroleum,57934109340.80292
WDAY,"Workday, Inc.",56947095977.7832
NXPI,NXP Semiconductors,56878312127.82524
PCAR,Paccar,56364931647.60035
PSX,Phillips 66,56116695684.55788
DLR,Digital Realty,55566306284.13904
STX,Seagate Technology,55498547384.57016
VLO,Valero Energy,55449781706.92078
SLB,Schlumberger,55409627850.10466
BDX,Becton Dickinson,55128496366.828766
ZTS,Zoetis,54943670264.95569
ALL,Allstate,54629927982.170715
DDOG,Datadog,53927864963.48271
WDC,Western Digital,53373263597.67105
O,Realty Income,53157214190.381355
URI,United Rentals,52373754708.0
F,Ford Motor Company,52236774832.29098
D,Dominion Energy,51469624074.14326
MET,MetLife,51236931112.73093
LHX,L3Harris,51147977064.16882
NDAQ,"Nasdaq, Inc.",50821044408.83159
EA,Electronic Arts,50790301383.41167
EW,Edwards Lifesciences,49780209537.5061
BKR,Baker Hughes,49605123499.849236
DHI,D. R. Horton,48921176938.80203
PSA,Public Storage,48697390613.6604
CAH,Cardinal Health,48119293346.73514
CBRE,CBRE Group,47879737105.69365
ROP,Roper Technologies,47685533056.059875
FAST,Fastenal,46914481665.60484
OKE,Oneok,46790871235.86273
LVS,Las Vegas Sands,46774948362.00197
CARR,Carrier Global,46346702978.34532
XEL,Xcel Energy,46344184237.77945
GWW,W. W. Grainger,46203077886.13794
FANG,Diamondback Energy,45921184787.73645
CMG,Chipotle Mexican Grill,45735439838.86719
AME,Ametek,45571837078.757324
MPWR,Monolithic Power Systems,45516439530.39551
TTWO,Take-Two Interactive,45204293347.69995
EXC,Exelon,45156531034.779015
CTVA,Corteva,44569331134.79614
ROK,Rockwell Automation,44565621786.263916
KR,Kroger,44382872237.533295
AMP,Ameriprise Financial,43933849606.042786
DAL,Delta Air Lines,43647297024.03369
AXON,Axon Enterprise,42937884575.45593
A,Agilent Technologies,42632795746.91943
FICO,Fair Isaac,42566402239.631836
AIG,American International Group,42156923718.11923
OXY,Occidental Petroleum,42132523608.68527
TGT,Target Corporation,41731700702.17582
ETR,Entergy,41399531637.89441
YUM,Yum! Brands,41230055486.628296
MSCI,MSCI Inc.,41178723759.52368
PAYX,Paychex,40479093184.77012
PEG,Public Service Enterprise Group,40176902461.93207
IQV,IQVIA,39227753707.88574
VMC,Vulcan Materials Company,38739460359.53522
CTSH,Cognizant,38617466668.61339
KDP,Keurig Dr Pepper,38475073685.39333
GRMN,Garmin,38421792596.8898
